Concepto,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Impuesto sobre la renta diferido,1120157,1306827,1206843,1011107,73833,250351,147118,149990,1222175,1644740,1528603,0,0,0,0,0,0,0,0,0,0,0
Pagos anticipados ,0,0,0,0,0,0,0,0,0,0,0,239472,1108049,417199,89017,51644,717774,625760,547826,475136,404252,357923
Partes relacionadas ,0,0,0,0,0,0,0,0,0,37066,528920,491476,205330,122936,0,167899,263460,436266,377954,0,0,0
Costo financiero diferido,196131,110717,96068,317168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros activos no circulantes,5340,6758,2537,16622,1503,6907,54214,678188,317319,451796,288861,125346,133646,93080,66307,68886,98131,201771,194912,125561,247619,138572
PASIVO Y CAPITAL CONTABLE,22182677,22613576,24090677,23997749,2728149,2183226,2369494,26226219,21788882,23929121,24919213,24439980,26865661,27910374,32073388,36658209,38484201,43654878,47054231,47326790,52594490,56562539
PASIVO,8794717,8637501,8768516,12311904,1141143,1078576,1019816,13371492,12721788,15510293,17093846,13775386,19577170,16497343,19000582,20882758,24884484,28900231,24122143,22622589,23196779,21714751
Pasivo circulante ,2415491,777330,3318123,1392566,360674,213177,195154,3143498,2269803,2229636,1907334,1969104,2693027,1389497,2835181,2468763,8492536,5586329,5860401,4556022,6606897,6344994
Papel comercial,0,0,2428848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crédito revolvente ,804861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proveedores,0,0,0,0,65522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anticipos a clientes,0,0,0,0,5809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vencimientos circulantes de la deuda a largo plazo ,857466,0,0,191180,192740,66749,4482,262538,3038,133256,144286,137872,239772,243387,1059439,289115,448283,411999,651417,103209,227250,0
Vencimientos circulantes de arrendamiento financiero,97151,39284,2773,2791,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compañias relacionadas,0,0,0,0,0,3907,13299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuentas por pagar ,594255,0,791.92,1106288,86179,131833,65791,1703065,815427,1204687,972799,1087414,1010515,685557,755241,541147,814475,1062287,1825684,1239836,880396,785878
Instrumentos financieros derivados ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63317,790704,848541,0,0,0,0
Provisiones ,0,0,0,0,0,0,111582,553647,594459,563970,271881,473789,558083,340661,269372,261101,472635,338278,437852,464048,348926,294852
Partes relacionadas ,61758,738046,94580,92307,10010,0,0,496478,651577,146433,354208,28973,670744,119892,751129,1314083,5966439,2097016,2945448,2748929,4856450,4988826
Ingreso diferido ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828208,0,0,0,0
Pasivo por arrendamiento  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293875,275438
Otros pasivos circulantes,0,0,0,0,0,6.62,0,127770,205302,181290,164160,241056,213913,0,0,0,0,0,0,0,0,0
Interés diferido,0,0,0,0,0,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasivo no circulante,6379226,7860171,5450393,10919338,780469,865399,824662,10227994,10451985,13280657,15186512,11806282,16884143,15107846,16165401,18413995,16391948,23313902,18261742,18066567,16589882,15369757
"Deuda a largo plazo, excluyendo vencimientos circulantes ",6297772,7798165,5240075,10482993,745189,840195,903744,9110311,9239660,12840454,14410757,10805058,13221347,11987180,14423111,16123108,2747003,2567316,1803712,862472,104439,110725
Porción a largo plazo de arrendamiento financiero ,40071,0,19609,19603,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beneficios a los empleados,0,0,0,0,0,0,0,0,0,217702,273464,274376,252159,0,0,0,0,0,0,0,0,0
Partes relacionadas ,0,0,0,0,0,0,0,0,0,0,0,481927,3039948,2319950,880905,1082407,12352799,19301883,14454473,15400166,13919498,13060253
Impuesto a la utilidad diferido ,0,0,0,0,0,0,0,0,0,0,0,0,0,798137,842978,1046114,1210448,1374220,1948564,1762561,1951574,1642081
Participación de los trabajadores en la utilidad diferida ,0,0,0,0,0,0,0,168233,128964,165476,187515,211875,338380,0,0,0,0,0,0,0,0,0
Pasivo por arrendamiento ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577897,515376
"Kansas City Southern, Inc.",0,0,0,0,0,0,0,0,236678,0,0,0,0,0,0,0,0,0,0,0,0,0
Inversión en acciones en subsidiaria y asociadas ,0,0,0,0,0,0,0,618509,586444,0,0,0,0,0,0,0,0,0,0,0,0,0
Servicios Ferroviarios Europeos ,0,0,0,0,0,0,0,0,0,3169,281807,0,0,0,0,0,0,0,0,0,0,0
Otros pasivos no circulantes,41383,62006,190709,416742,33724,25204,116072,330941,260239,53856,32969,33046,32309,2579,18407,162366,81698,70483,54993,41368,36474,41322
CAPITAL CONTABLE,13387960,13976075,15322161,11685845,1587472,1105651,1155778,12854727,9067094,8418828,7825367,10664594,7288491,11413031,13072806,15775451,13599717,14754647,22932088,24704201,29397711,34847788
Capital social,13839875,13839875,13839875,13839875,1758882,1758882,1758882,11071900,4785510,4785510,3990884,5216498,2314867,2554190,2554190,2554190,2554190,2554190,2554190,2544190,2554190,2554190
Acciones en tesorería ,0,0,0,-2484439,-256130,-256130,-561462,-2484439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efecto de compra de acciones de subsidiaria,0,0,0,-381054,-41952,0,0,-381045,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836,-304836
Prima en emisión de acciones,0,0,0,0,0,-21395,245369,408808,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861,-423861
Utilidades acumuladas,-451915,136200,1482286,711463,126672,285.42,374142,4239503,5010281,4362015,4563180,6176793,5702321,9587538,11247313,13949958,11774224,12929154,21106595,22878708,27572218,33022295
Contrato de asociación en participación,0,0,0,0,0,-661122,-661153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
